"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","1861","","CourrierLoginPostTest","","CourrierLoginPostTest","","baseLoginTest",""
"passed","","","239","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutPassword",""
"passed","","","248","","CreateCourrierPostTest","","CreateCourrierPostTest","","createSameCourrier",""
"failed","","","60510","","CourrierLoginPostTest","","CourrierLoginPostTest","","noPasswordAuthTest",""
"passed","","","241","","CreateCourrierPostTest","","CreateCourrierPostTest","","checkErrorResponseSameLogin",""
"passed","","","160","","MakeOrderPostTest","","MakeOrderPostTest","","orderColorTest[0]",""
"passed","","","345","","CourrierLoginPostTest","","CourrierLoginPostTest","","incorrectDataLoginTest",""
"passed","","","426","","CourrierLoginPostTest","","CourrierLoginPostTest","","noLoginAuthTest",""
"passed","","","185","","CreateCourrierPostTest","","CreateCourrierPostTest","","usualCourrierCreate",""
"passed","","","248","","DeleteCourrierTest","","DeleteCourrierTest","","deleteNotExistingCourrier",""
"passed","","","172","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutNameField",""
"passed","","","119","","MakeOrderPostTest","","MakeOrderPostTest","","orderColorTest[2]",""
"failed","","","260","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutFirstNameField",""
"passed","","","145","","MakeOrderPostTest","","MakeOrderPostTest","","orderColorTest[3]",""
"passed","","","210","","DeleteCourrierTest","","DeleteCourrierTest","","deleteCourrier",""
"broken","","","60195","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutPasswordField",""
"passed","","","369","","CourrierLoginPostTest","","CourrierLoginPostTest","","emptyPasswordAuthTest",""
"failed","","","203","","DeleteCourrierTest","","DeleteCourrierTest","","deleteCourrierWithoutID",""
"passed","","","339","","CourrierLoginPostTest","","CourrierLoginPostTest","","emptyLoginAuthTest",""
"passed","","","106","","MakeOrderPostTest","","MakeOrderPostTest","","orderColorTest[1]",""
"passed","","","191","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutName",""
"passed","","","18676","","OrderListGetTest","","OrderListGetTest","","getOrderlistAll",""
"failed","","","230","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutFirstname",""
"passed","","","188","","CreateCourrierPostTest","","CreateCourrierPostTest","","checkResponse",""
